"","subject","sex","age","session","trial","condition","baited_side","interest_period","max_x","min_x","median_x","mean_x","baitedX"
"146","Diara","f","23",1,4,"throwing","r","baiting",419.98,251.63,302.085,300.101882352941,251.63
"147","Diara","f","23",1,4,"throwing","r","bowl_displacement",367.76,221.4,301.18,299.294431137725,221.4
"148","Diara","f","23",1,4,"throwing","r","choice",360.35,129.36,231.75,263.503376623377,129.36
"149","Diara","f","23",1,4,"throwing","r","signaling",339.1,249.07,317.985,304.437121212121,249.07
"150","Diara","f","23",1,5,"throwing","l","addressing",241.3,235.11,239.14,238.776153846154,241.3
"151","Diara","f","23",1,5,"throwing","l","baiting",298.92,232.21,249.76,253.491741573034,298.92
"152","Diara","f","23",1,5,"throwing","l","bowl_displacement",576.83,198.71,236.34,252.234473684211,576.83
"153","Diara","f","23",1,5,"throwing","l","choice",260.43,93.4,191.87,185.811038961039,260.43
"154","Diara","f","23",1,5,"throwing","l","signaling",379.05,168.35,239.65,263.715573770492,379.05
"155","Diara","f","23",1,6,"throwing","r","addressing",282.76,243.18,270.71,267.999230769231,243.18
"156","Diara","f","23",1,6,"throwing","r","baiting",273.36,210.48,230.1,234.553220338983,210.48
"157","Diara","f","23",1,6,"throwing","r","bowl_displacement",320.38,154.45,263.39,250.13585106383,154.45
"158","Diara","f","23",1,6,"throwing","r","choice",304.44,108.18,238.205,228.43390625,108.18
"159","Diara","f","23",1,6,"throwing","r","signaling",318.68,195.25,280.39,273.804642857143,195.25
"160","Diara","f","23",1,7,"throwing","l","addressing",177.42,174.64,176.41,176.232,177.42
"161","Diara","f","23",1,7,"throwing","l","baiting",196.71,134.27,163.08,163.822588235294,196.71
"162","Diara","f","23",1,7,"throwing","l","bowl_displacement",293.44,71.47,189.605,204.007282608696,293.44
"163","Diara","f","23",1,7,"throwing","l","choice",223.39,72.28,183.75,161.484696969697,223.39
"164","Diara","f","23",1,7,"throwing","l","signaling",310.36,180.63,196.745,217.036388888889,310.36
"165","Diara","f","23",1,8,"control","l","addressing",220,208.84,214.77,214.294571428571,220
"166","Diara","f","23",1,8,"control","l","baiting",285.85,42.78,156.69,166.797453416149,285.85
